Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2050000 through 2059999



2050000 --> Thursday, 05 - 11
2050581 --> Thursday, 05 - 10

2050582 --> Thursday, 05 - 30

2050583 --> Thursday, 05 - 15

2050584 --> Thursday, 05 - 06

2050585 --> Thursday, 05 - 26

2050586 --> Thursday, 05 - 11

2050587 --> Thursday, 05 - 03

2050588 --> Thursday, 05 - 22

2050589 --> Thursday, 05 - 14

2050590 --> Thursday, 05 - 27

2050591 --> Thursday, 05 - 19

2050592 --> Thursday, 05 - 10

2050593 --> Thursday, 05 - 30

2050594 --> Thursday, 05 - 15

2050595 --> Thursday, 05 - 07

2050596 --> Thursday, 05 - 26

2050597 --> Thursday, 05 - 11

2050598 --> Thursday, 05 - 31

2050599 --> Thursday, 05 - 23

2050600 --> Thursday, 05 - 08

2050601 --> Thursday, 05 - 28

2050602 --> Thursday, 05 - 20

2050603 --> Thursday, 05 - 05

2050604 --> Thursday, 05 - 24

2050605 --> Thursday, 05 - 16

2050606 --> Thursday, 05 - 01

2050607 --> Thursday, 05 - 21

2050608 --> Thursday, 05 - 12

2050609 --> Thursday, 06 - 01

2050610 --> Thursday, 05 - 17

2050611 --> Thursday, 05 - 09

2050612 --> Thursday, 05 - 28

2050613 --> Thursday, 05 - 13

2050614 --> Thursday, 05 - 05

2050615 --> Thursday, 05 - 25

2050616 --> Thursday, 05 - 16

2050617 --> Thursday, 05 - 29

2050618 --> Thursday, 05 - 21

2050619 --> Thursday, 05 - 13

2050620 --> Thursday, 06 - 01

2050621 --> Thursday, 05 - 17

2050622 --> Thursday, 05 - 09

2050623 --> Thursday, 05 - 29

2050624 --> Thursday, 05 - 13

2050625 --> Thursday, 05 - 05

2050626 --> Thursday, 05 - 25

2050627 --> Thursday, 05 - 10

2050628 --> Thursday, 05 - 29

2050629 --> Thursday, 05 - 21

2050630 --> Thursday, 05 - 06

2050631 --> Thursday, 05 - 26

2050632 --> Thursday, 05 - 17

2050633 --> Thursday, 05 - 02

2050634 --> Thursday, 05 - 22

2050635 --> Thursday, 05 - 14

2050636 --> Thursday, 06 - 02

2050637 --> Thursday, 05 - 18

2050638 --> Thursday, 05 - 10

2050639 --> Thursday, 05 - 30

2050640 --> Thursday, 05 - 21

2050641 --> Thursday, 05 - 06

2050642 --> Thursday, 05 - 26

2050643 --> Thursday, 05 - 18

2050644 --> Thursday, 05 - 02

2050645 --> Thursday, 05 - 22

2050646 --> Thursday, 05 - 14

2050647 --> Thursday, 05 - 27

2050648 --> Thursday, 05 - 18

2050649 --> Thursday, 05 - 10

2050650 --> Thursday, 05 - 30

2050651 --> Thursday, 05 - 15

2050652 --> Thursday, 05 - 06

2050653 --> Thursday, 05 - 26

2050654 --> Thursday, 05 - 11

2050655 --> Thursday, 05 - 31

2050656 --> Thursday, 05 - 22

2050657 --> Thursday, 05 - 07

2050658 --> Thursday, 05 - 27

2050659 --> Thursday, 05 - 19

2050660 --> Thursday, 05 - 10

2050661 --> Thursday, 05 - 23

2050662 --> Thursday, 05 - 15

2050663 --> Thursday, 05 - 07

2050664 --> Thursday, 05 - 26

2050665 --> Thursday, 05 - 11

2050666 --> Thursday, 05 - 31

2050667 --> Thursday, 05 - 23

2050668 --> Thursday, 05 - 07

2050669 --> Thursday, 05 - 27

2050670 --> Thursday, 05 - 19

2050671 --> Thursday, 05 - 04

2050672 --> Thursday, 05 - 23

2050673 --> Thursday, 05 - 15

2050674 --> Thursday, 05 - 28

2050675 --> Thursday, 05 - 20

2050676 --> Thursday, 05 - 11

2050677 --> Thursday, 05 - 31

2050678 --> Thursday, 05 - 16

2050679 --> Thursday, 05 - 08

2050680 --> Thursday, 05 - 27

2050681 --> Thursday, 05 - 12

2050682 --> Thursday, 05 - 04

2050683 --> Thursday, 05 - 24

2050684 --> Thursday, 05 - 15

2050685 --> Thursday, 05 - 28

2050686 --> Thursday, 05 - 20

2050687 --> Thursday, 05 - 12

2050688 --> Thursday, 05 - 31

2050689 --> Thursday, 05 - 16

2050690 --> Thursday, 05 - 08

2050691 --> Thursday, 05 - 21

2050692 --> Thursday, 05 - 12

2050693 --> Thursday, 06 - 01

2050694 --> Thursday, 05 - 24

2050695 --> Thursday, 05 - 09

2050696 --> Thursday, 05 - 28

2050697 --> Thursday, 05 - 20

2050698 --> Thursday, 05 - 05

2050699 --> Thursday, 05 - 25

2050700 --> Thursday, 05 - 17

2050701 --> Thursday, 05 - 02

2050702 --> Thursday, 05 - 22

2050703 --> Thursday, 05 - 14

2050704 --> Thursday, 06 - 02

2050705 --> Thursday, 05 - 18

2050706 --> Thursday, 05 - 10

2050707 --> Thursday, 05 - 30

2050708 --> Thursday, 05 - 14

2050709 --> Thursday, 05 - 06

2050710 --> Thursday, 05 - 26

